

[2021-02-11 13:59:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 18:23:31] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 19:26:36] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 20:07:14] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 20:07:22] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-11 20:30:47] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 20:40:50] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 20:50:23] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 22:05:45] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-11 22:06:00] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-12 02:12:50] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-12 02:14:42] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-12 19:03:28] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-12 19:03:31] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-12 19:32:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 00:19:04] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 00:27:23] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 04:18:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-13 08:41:03] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 12:33:40] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-13 15:31:51] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 15:31:51] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 15:31:51] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 17:05:36] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 17:05:37] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 17:05:42] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 17:44:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-13 17:51:38] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-13 17:40:28] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-14 00:56:40] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 01:07:26] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 01:13:27] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 01:13:38] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 01:36:20] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 01:41:55] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 02:09:52] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 02:24:44] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 02:34:23] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 03:10:52] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 03:12:36] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 03:13:21] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 03:17:49] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 04:00:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 04:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 04:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-14 04:43:19] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 07:04:45] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 08:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-14 08:18:41] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 08:56:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 09:47:53] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-14 19:19:02] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 19:33:04] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 19:42:27] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 19:46:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 21:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 21:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-14 21:48:11] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-14 23:26:10] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
